"BRK.B","CELG","DOW","EMR","HAL","MA","MRK","PEP","PM","SPG"
"209",1292700,1178200,502000,469100,339800,950000,519300,986400,865400,1917100
"210",1309500,1187700,497300,472500,345100,956400,528200,992200,875600,1932100
"211",1265200,1018700,432900,430700,297700,893900,508400,969700,890200,1854900
"212",1273800,1073600,437000,436200,300500,877600,512400,946700,861400,1854900
"213",1277100,1035700,429500,434600,305600,893700,518300,949700,877600,1866000
"214",1252500,1031200,414700,421000,288200,849200,506000,950600,864600,1836000
"215",1270100,988500,418000,451400,307100,820400,497900,982500,891300,1842200
"216",1292000,1079700,450800,445200,319800,919000,519700,973100,890100,1857900
"217",1259500,1030300,434600,425700,310300,887400,506900,943300,864900,1828800
"218",1259700,1002000,417200,443100,301000,847600,502900,966800,879100,1867800
"219",1298300,1141700,473500,448800,328700,920100,522100,980600,870700,1923000
"220",1254800,1059200,420300,429300,290100,869100,512900,962300,875500,1871000
"221",1269600,985800,418100,451300,307300,819300,497900,982400,891100,1840000
"222",1277100,1035200,429400,434800,305500,893200,517600,950300,877100,1865200
"223",1292100,1179100,502300,469200,340400,949300,519100,986100,865200,1916900
"224",1310400,1186700,497000,472300,344400,955600,528000,992100,875300,1934200
"225",1274600,1068800,436800,436000,301000,877800,512000,947000,862000,1856400
"226",1296700,1148900,476500,455300,330000,913200,516000,987300,871500,1930100
"227",1309700,1186300,496600,472000,344400,955300,527800,992000,874800,1934200
"228",1259400,1000300,416000,442600,300800,847100,502700,966300,878600,1866100
"229",1269600,984400,418000,451400,307400,819800,497800,982900,891400,1840000
"230",1274800,1071000,437100,436800,302300,878000,511700,946600,860800,1856500
"231",1252400,1029600,414000,420900,287700,848000,505700,950500,864100,1836400
"232",1285700,1089400,461300,440100,324600,902500,510700,974900,880600,1873100
"233",1274900,1073300,437200,437000,302900,878100,511700,946500,859600,1853600
"234",1285100,1088700,461300,440200,324200,903000,510700,974600,880000,1872700
"235",1274300,1073500,436900,437900,302400,878600,512100,946200,859500,1852200
"236",1296400,1148100,477100,454900,330300,912700,516400,987800,871800,1931100
"237",1270000,984200,417900,451600,307400,820400,497700,982800,891500,1830200
"238",1260700,1001200,416000,442900,300500,847600,502900,966500,879000,1870200
"239",1292500,1178400,503300,470400,340400,948900,518000,986200,864500,1914200
"240",1250600,1061100,412700,423000,286200,851100,505200,937400,852800,1824900
"241",1293300,1082900,451000,446600,320500,920300,520300,974000,890200,1859900
"242",1251400,1060000,419200,428300,289200,868600,512400,962500,875500,1870300
"243",1257500,1027500,434000,425100,309300,885600,506700,942400,864400,1825700
"244",1296600,1146900,477000,454800,330800,911100,516400,987400,872400,1929500
"245",1292000,1070000,457400,444000,318700,915800,519400,980200,898000,1865900
"246",1298800,1143200,474400,449500,328000,919900,521400,981100,871200,1922500
"247",1274500,1028000,428000,433200,305500,892100,516900,951100,876700,1863700
"248",1292600,1179000,502700,470200,340100,948300,517500,985300,864600,1913800
"249",1261100,1005000,415800,442700,300700,845700,503300,966300,879200,1869100
"250",1270300,984800,417300,451400,307900,818800,497800,983900,891300,1827500
"251",1296800,1147500,477000,454800,331000,911200,516400,987700,873400,1931700
"252",1265900,1016100,433100,431200,300000,894700,507900,967300,887600,1853800
"253",1292800,1082800,450900,446800,320300,920200,520200,972900,890200,1859700
"254",1254300,1026500,413300,420600,287400,846800,505300,951900,864800,1835800
"255",1293000,1178800,502900,470500,340000,948400,517400,985100,864600,1915400
"256",1293000,1068600,458200,444200,319600,917000,519500,980300,897900,1867000
"257",1298500,1140500,474600,450000,328000,920200,521300,980900,871200,1920400
"258",1270300,986700,417400,451600,307600,819000,497700,983600,891100,1826500
"259",1253200,1071000,424800,432100,290200,867200,508200,964700,876900,1883500
"260",1298100,1176600,485400,461000,337600,941900,524300,988100,873900,1950100
"261",1293300,1068000,458300,444300,319200,916900,519700,980400,898100,1868400
"262",1257100,1024700,433500,423100,307800,883800,506100,943000,865200,1822700
"263",1273900,1029900,428000,432500,304500,891400,515800,951100,877100,1866200
"264",1274100,1070800,435000,436000,300800,877900,511500,948200,861200,1854300
"265",1296100,1147200,477700,455400,331900,910300,516500,986500,873600,1931000
"266",1286700,1090500,461300,440700,323200,903800,511500,975400,880500,1874700
"267",1261400,1076100,424600,427200,296000,876600,511600,956600,867400,1863900
"268",1253200,1072500,425700,432300,290000,867400,508300,964800,877700,1883900
"269",1293200,1180600,503000,470400,340400,948700,517700,985400,865600,1917000
"270",1297700,1139100,474200,449400,327500,919600,520500,980600,871400,1920000
"271",1298700,1175300,485400,460800,337600,941200,524200,989000,873600,1950100
